Model,File,url
MaziyarPanahi/calme-3.2-instruct-78b,hf://datasets/open-llm-leaderboard/MaziyarPanahi__calme-3.2-instruct-78b-details/MaziyarPanahi__calme-3.2-instruct-78b/samples_leaderboard_mmlu_pro_2024-12-03T18-16-48.043062.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/MaziyarPanahi__calme-3.2-instruct-78b-details
MaziyarPanahi/calme-3.1-instruct-78b,hf://datasets/open-llm-leaderboard/MaziyarPanahi__calme-3.1-instruct-78b-details/MaziyarPanahi__calme-3.1-instruct-78b/samples_leaderboard_mmlu_pro_2024-11-28T07-37-04.318927.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/MaziyarPanahi__calme-3.1-instruct-78b-details
dfurman/CalmeRys-78B-Orpo-v0.1,hf://datasets/open-llm-leaderboard/dfurman__CalmeRys-78B-Orpo-v0.1-details/dfurman__CalmeRys-78B-Orpo-v0.1/samples_leaderboard_mmlu_pro_2024-09-29T02-22-29.808480.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/dfurman__CalmeRys-78B-Orpo-v0.1-details
MaziyarPanahi/calme-2.4-rys-78b,hf://datasets/open-llm-leaderboard/MaziyarPanahi__calme-2.4-rys-78b-details/MaziyarPanahi__calme-2.4-rys-78b/samples_leaderboard_mmlu_pro_2024-09-10T08-22-10.347631.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/MaziyarPanahi__calme-2.4-rys-78b-details
Qwen/Qwen2.5-72B-Instruct,hf://datasets/open-llm-leaderboard/Qwen__Qwen2.5-72B-Instruct-details/Qwen__Qwen2.5-72B-Instruct/samples_leaderboard_mmlu_pro_2024-10-17T09-04-04.637164.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/Qwen__Qwen2.5-72B-Instruct-details
MaziyarPanahi/calme-2.1-qwen2.5-72b,hf://datasets/open-llm-leaderboard/MaziyarPanahi__calme-2.1-qwen2.5-72b-details/MaziyarPanahi__calme-2.1-qwen2.5-72b/samples_leaderboard_mmlu_pro_2024-10-05T22-25-27.320099.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/MaziyarPanahi__calme-2.1-qwen2.5-72b-details
MaziyarPanahi/calme-2.2-qwen2.5-72b,hf://datasets/open-llm-leaderboard/MaziyarPanahi__calme-2.2-qwen2.5-72b-details/MaziyarPanahi__calme-2.2-qwen2.5-72b/samples_leaderboard_mmlu_pro_2024-09-29T03-12-34.612432.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/MaziyarPanahi__calme-2.2-qwen2.5-72b-details
Qwen/Qwen2.5-32B-Instruct,hf://datasets/open-llm-leaderboard/Qwen__Qwen2.5-32B-Instruct-details/Qwen__Qwen2.5-32B-Instruct/samples_leaderboard_mmlu_pro_2024-09-19T12-58-54.557932.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/Qwen__Qwen2.5-32B-Instruct-details
mistralai/Mistral-Large-Instruct-2411,hf://datasets/open-llm-leaderboard/mistralai__Mistral-Large-Instruct-2411-details/mistralai__Mistral-Large-Instruct-2411/samples_leaderboard_mmlu_pro_2024-11-20T12-25-36.264064.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/mistralai__Mistral-Large-Instruct-2411-details
rombodawg/Rombos-LLM-V2.5-Qwen-72b,hf://datasets/open-llm-leaderboard/rombodawg__Rombos-LLM-V2.5-Qwen-72b-details/rombodawg__Rombos-LLM-V2.5-Qwen-72b/samples_leaderboard_mmlu_pro_2024-10-05T23-15-41.974858.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/rombodawg__Rombos-LLM-V2.5-Qwen-72b-details
tanliboy/lambda-qwen2.5-32b-dpo-test,hf://datasets/open-llm-leaderboard/tanliboy__lambda-qwen2.5-32b-dpo-test-details/tanliboy__lambda-qwen2.5-32b-dpo-test/samples_leaderboard_mmlu_pro_2024-10-07T14-01-59.393600.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/tanliboy__lambda-qwen2.5-32b-dpo-test-details
rombodawg/Rombos-LLM-V2.5-Qwen-32b,hf://datasets/open-llm-leaderboard/rombodawg__Rombos-LLM-V2.5-Qwen-32b-details/rombodawg__Rombos-LLM-V2.5-Qwen-32b/samples_leaderboard_mmlu_pro_2024-10-10T04-14-28.109800.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/rombodawg__Rombos-LLM-V2.5-Qwen-32b-details
CombinHorizon/huihui-ai-abliterated-Qwen2.5-32B-Inst-BaseMerge-TIES,hf://datasets/open-llm-leaderboard/CombinHorizon__huihui-ai-abliterated-Qwen2.5-32B-Inst-BaseMerge-TIES-details/CombinHorizon__huihui-ai-abliterated-Qwen2.5-32B-Inst-BaseMerge-TIES/samples_leaderboard_mmlu_pro_2024-12-07T17-16-26.181747.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/CombinHorizon__huihui-ai-abliterated-Qwen2.5-32B-Inst-BaseMerge-TIES-details
dnhkng/RYS-XLarge,hf://datasets/open-llm-leaderboard/dnhkng__RYS-XLarge-details/dnhkng__RYS-XLarge/samples_leaderboard_mmlu_pro_2024-08-01T22-42-34.298605.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/dnhkng__RYS-XLarge-details
ssmits/Qwen2.5-95B-Instruct,hf://datasets/open-llm-leaderboard/ssmits__Qwen2.5-95B-Instruct-details/ssmits__Qwen2.5-95B-Instruct/samples_leaderboard_mmlu_pro_2024-10-06T06-27-47.292101.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/ssmits__Qwen2.5-95B-Instruct-details
meta-llama/Llama-3.3-70B-Instruct,hf://datasets/open-llm-leaderboard/meta-llama__Llama-3.3-70B-Instruct-details/meta-llama__Llama-3.3-70B-Instruct/samples_leaderboard_mmlu_pro_2024-12-04T14-39-18.066641.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/meta-llama__Llama-3.3-70B-Instruct-details
