,name,sha,precision,type,weight_type,architecture,average_score,has_chat_template,ifeval,bbh,math,gpqa,musr,mmlu_pro,is_not_available_on_hub,is_merged,is_moe,is_flagged,is_official_provider,upload_date,submission_date,generation,base_model,hub_license,hub_hearts,params_billions,co2_cost
0-hero/Matter-0.2-7B-DPO_bfloat16_26a66f0d862e2024ce4ad0a09c37052ac36e8af6_True,0-hero/Matter-0.2-7B-DPO,26a66f0d862e2024ce4ad0a09c37052ac36e8af6,bfloat16,chatmodels,Original,MistralForCausalLM,8.90636130175029,True,"{'name': 'IFEval', 'value': 0.3302792147058693, 'normalized_score': 33.02792147058693}","{'name': 'BBH', 'value': 0.3596254301656297, 'normalized_score': 10.055525080241035}","{'name': 'MATH Level 5', 'value': 0.014350453172205438, 'normalized_score': 1.4350453172205437}","{'name': 'GPQA', 'value': 0.25922818791946306, 'normalized_score': 1.230425055928408}","{'name': 'MUSR', 'value': 0.381375, 'normalized_score': 5.871874999999999}","{'name': 'MMLU-PRO', 'value': 0.1163563829787234, 'normalized_score': 1.8173758865248217}",True,False,False,False,False,2024-04-13,2024-08-05,0,0-hero/Matter-0.2-7B-DPO,apache-2.0,3,7.242,1.219174164123715
01-ai/Yi-1.5-34B_bfloat16_4b486f81c935a2dadde84c6baa1e1370d40a098f_False,01-ai/Yi-1.5-34B,4b486f81c935a2dadde84c6baa1e1370d40a098f,bfloat16,pretrained,Original,LlamaForCausalLM,25.64649419429311,False,"{'name': 'IFEval', 'value': 0.2841172533322695, 'normalized_score': 28.411725333226947}","{'name': 'BBH', 'value': 0.5976391706360018, 'normalized_score': 42.74936268839652}","{'name': 'MATH Level 5', 'value': 0.15332326283987915, 'normalized_score': 15.332326283987916}","{'name': 'GPQA', 'value': 0.36577181208053694, 'normalized_score': 15.436241610738257}","{'name': 'MUSR', 'value': 0.4236041666666667, 'normalized_score': 11.217187500000003}","{'name': 'MMLU-PRO', 'value': 0.4665890957446808, 'normalized_score': 40.732121749408975}",True,False,False,False,True,2024-05-11,2024-06-12,0,01-ai/Yi-1.5-34B,apache-2.0,46,34.389,22.7033978747449
01-ai/Yi-1.5-34B-32K_bfloat16_2c03a29761e4174f20347a60fbe229be4383d48b_False,01-ai/Yi-1.5-34B-32K,2c03a29761e4174f20347a60fbe229be4383d48b,bfloat16,pretrained,Original,LlamaForCausalLM,26.727912908508134,False,"{'name': 'IFEval', 'value': 0.3118691737922047, 'normalized_score': 31.186917379220468}","{'name': 'BBH', 'value': 0.6015685776542417, 'normalized_score': 43.38184666762572}","{'name': 'MATH Level 5', 'value': 0.1540785498489426, 'normalized_score': 15.407854984894259}","{'name': 'GPQA', 'value': 0.36325503355704697, 'normalized_score': 15.100671140939594}","{'name': 'MUSR', 'value': 0.4398229166666667, 'normalized_score': 14.07786458333333}","{'name': 'MMLU-PRO', 'value': 0.4709109042553192, 'normalized_score': 41.21232269503546}",True,False,False,False,True,2024-05-15,2024-06-12,0,01-ai/Yi-1.5-34B-32K,apache-2.0,36,34.389,23.15462857509891
01-ai/Yi-1.5-34B-Chat_bfloat16_f3128b2d02d82989daae566c0a7eadc621ca3254_True,01-ai/Yi-1.5-34B-Chat,f3128b2d02d82989daae566c0a7eadc621ca3254,bfloat16,chatmodels,Original,LlamaForCausalLM,33.35799367075618,True,"{'name': 'IFEval', 'value': 0.6066758423205982, 'normalized_score': 60.66758423205982}","{'name': 'BBH', 'value': 0.6083748310271819, 'normalized_score': 44.262825981005655}","{'name': 'MATH Level 5', 'value': 0.277190332326284, 'normalized_score': 27.719033232628398}","{'name': 'GPQA', 'value': 0.3649328859060403, 'normalized_score': 15.324384787472036}","{'name': 'MUSR', 'value': 0.4281979166666667, 'normalized_score': 13.058072916666665}","{'name': 'MMLU-PRO', 'value': 0.45204454787234044, 'normalized_score': 39.11606087470449}",True,False,False,False,True,2024-05-10,2024-06-12,0,01-ai/Yi-1.5-34B-Chat,apache-2.0,268,34.389,22.423843867327744
01-ai/Yi-1.5-34B-Chat-16K_bfloat16_ff74452e11f0f749ab872dc19b1dd3813c25c4d8_True,01-ai/Yi-1.5-34B-Chat-16K,ff74452e11f0f749ab872dc19b1dd3813c25c4d8,bfloat16,chatmodels,Original,LlamaForCausalLM,29.403554842710225,True,"{'name': 'IFEval', 'value': 0.456449997118756, 'normalized_score': 45.6449997118756}","{'name': 'BBH', 'value': 0.6100218256499571, 'normalized_score': 44.53615654671034}","{'name': 'MATH Level 5', 'value': 0.21374622356495468, 'normalized_score': 21.37462235649547}","{'name': 'GPQA', 'value': 0.33808724832214765, 'normalized_score': 11.74496644295302}","{'name': 'MUSR', 'value': 0.43976041666666665, 'normalized_score': 13.736718750000001}","{'name': 'MMLU-PRO', 'value': 0.45445478723404253, 'normalized_score': 39.383865248226954}",True,False,False,False,True,2024-05-15,2024-07-15,0,01-ai/Yi-1.5-34B-Chat-16K,apache-2.0,26,34.389,6.774022458148835
01-ai/Yi-1.5-6B_bfloat16_cab51fce425b4c1fb19fccfdd96bd5d0908c1657_False,01-ai/Yi-1.5-6B,cab51fce425b4c1fb19fccfdd96bd5d0908c1657,bfloat16,pretrained,Original,LlamaForCausalLM,16.745698054972127,False,"{'name': 'IFEval', 'value': 0.26166017278598563, 'normalized_score': 26.166017278598567}","{'name': 'BBH', 'value': 0.44925820198929056, 'normalized_score': 22.027904536694773}","{'name': 'MATH Level 5', 'value': 0.06646525679758308, 'normalized_score': 6.646525679758309}","{'name': 'GPQA', 'value': 0.313758389261745, 'normalized_score': 8.501118568232664}","{'name': 'MUSR', 'value': 0.43740625, 'normalized_score': 13.309114583333335}","{'name': 'MMLU-PRO', 'value': 0.31441156914893614, 'normalized_score': 23.823507683215126}",True,False,False,False,True,2024-05-11,2024-08-10,0,01-ai/Yi-1.5-6B,apache-2.0,30,6.061,1.8442095716487765
01-ai/Yi-1.5-6B-Chat_bfloat16_3f64d3f159c6ad8494227bb77e2a7baef8cd808b_True,01-ai/Yi-1.5-6B-Chat,3f64d3f159c6ad8494227bb77e2a7baef8cd808b,bfloat16,chatmodels,Original,LlamaForCausalLM,22.784006289829847,True,"{'name': 'IFEval', 'value': 0.5145270105542183, 'normalized_score': 51.452701055421834}","{'name': 'BBH', 'value': 0.4571311331954389, 'normalized_score': 23.67872313235784}","{'name': 'MATH Level 5', 'value': 0.1623867069486405, 'normalized_score': 16.238670694864048}","{'name': 'GPQA', 'value': 0.30201342281879195, 'normalized_score': 6.935123042505594}","{'name': 'MUSR', 'value': 0.43917708333333333, 'normalized_score': 14.030468750000002}","{'name': 'MMLU-PRO', 'value': 0.3193151595744681, 'normalized_score': 24.368351063829788}",True,False,False,False,True,2024-05-11,2024-10-22,0,01-ai/Yi-1.5-6B-Chat,apache-2.0,41,6.061,1.4447911071090622
01-ai/Yi-1.5-9B_bfloat16_8cfde9604384c50137bee480b8cef8a08e5ae81d_False,01-ai/Yi-1.5-9B,8cfde9604384c50137bee480b8cef8a08e5ae81d,bfloat16,pretrained,Original,LlamaForCausalLM,22.153901514184795,False,"{'name': 'IFEval', 'value': 0.29358435617494916, 'normalized_score': 29.358435617494916}","{'name': 'BBH', 'value': 0.514294179104191, 'normalized_score': 30.50071699492122}","{'name': 'MATH Level 5', 'value': 0.11404833836858005, 'normalized_score': 11.404833836858005}","{'name': 'GPQA', 'value': 0.37919463087248323, 'normalized_score': 17.225950782997764}","{'name': 'MUSR', 'value': 0.43278124999999995, 'normalized_score': 12.030989583333332}","{'name': 'MMLU-PRO', 'value': 0.3916223404255319, 'normalized_score': 32.402482269503544}",True,False,False,False,True,2024-05-11,2024-06-12,0,01-ai/Yi-1.5-9B,apache-2.0,48,8.829,1.4688920320817076
01-ai/Yi-1.5-9B-32K_bfloat16_116561dfae63af90f9d163b43077629e0e916bb1_False,01-ai/Yi-1.5-9B-32K,116561dfae63af90f9d163b43077629e0e916bb1,bfloat16,pretrained,Original,LlamaForCausalLM,19.809786285875365,False,"{'name': 'IFEval', 'value': 0.23031113002389217, 'normalized_score': 23.031113002389215}","{'name': 'BBH', 'value': 0.496332115988265, 'normalized_score': 28.937011582169664}","{'name': 'MATH Level 5', 'value': 0.10800604229607251, 'normalized_score': 10.80060422960725}","{'name': 'GPQA', 'value': 0.35906040268456374, 'normalized_score': 14.541387024608499}","{'name': 'MUSR', 'value': 0.4186145833333333, 'normalized_score': 10.82682291666667}","{'name': 'MMLU-PRO', 'value': 0.37649601063829785, 'normalized_score': 30.721778959810877}",True,False,False,False,True,2024-05-15,2024-06-12,0,01-ai/Yi-1.5-9B-32K,apache-2.0,18,8.829,1.5680734132696938
01-ai/Yi-1.5-9B-Chat_bfloat16_bc87d8557c98dc1e5fdef6ec23ed31088c4d3f35_True,01-ai/Yi-1.5-9B-Chat,bc87d8557c98dc1e5fdef6ec23ed31088c4d3f35,bfloat16,chatmodels,Original,LlamaForCausalLM,29.530872220260978,True,"{'name': 'IFEval', 'value': 0.6045525871354672, 'normalized_score': 60.455258713546726}","{'name': 'BBH', 'value': 0.555906430281685, 'normalized_score': 36.95293138417893}","{'name': 'MATH Level 5', 'value': 0.2258308157099698, 'normalized_score': 22.58308157099698}","{'name': 'GPQA', 'value': 0.3347315436241611, 'normalized_score': 11.297539149888143}","{'name': 'MUSR', 'value': 0.42590625, 'normalized_score': 12.838281249999996}","{'name': 'MMLU-PRO', 'value': 0.39752327127659576, 'normalized_score': 33.05814125295508}",True,False,False,False,True,2024-05-10,2024-06-12,0,01-ai/Yi-1.5-9B-Chat,apache-2.0,141,8.829,1.453543490910605
01-ai/Yi-1.5-9B-Chat-16K_bfloat16_2b397e5f0fab87984efa66856c5c4ed4bbe68b50_True,01-ai/Yi-1.5-9B-Chat-16K,2b397e5f0fab87984efa66856c5c4ed4bbe68b50,bfloat16,chatmodels,Original,LlamaForCausalLM,23.76539234993476,True,"{'name': 'IFEval', 'value': 0.4214040966856829, 'normalized_score': 42.14040966856828}","{'name': 'BBH', 'value': 0.5153383364651778, 'normalized_score': 31.497608947018318}","{'name': 'MATH Level 5', 'value': 0.1782477341389728, 'normalized_score': 17.82477341389728}","{'name': 'GPQA', 'value': 0.3087248322147651, 'normalized_score': 7.829977628635347}","{'name': 'MUSR', 'value': 0.40990624999999997, 'normalized_score': 10.03828125}","{'name': 'MMLU-PRO', 'value': 0.39935172872340424, 'normalized_score': 33.261303191489354}",True,False,False,False,True,2024-05-15,2024-06-12,0,01-ai/Yi-1.5-9B-Chat-16K,apache-2.0,35,8.829,1.5847450134017533
01-ai/Yi-34B_bfloat16_e1e7da8c75cfd5c44522228599fd4d2990cedd1c_False,01-ai/Yi-34B,e1e7da8c75cfd5c44522228599fd4d2990cedd1c,bfloat16,pretrained,Original,LlamaForCausalLM,22.373127018936653,False,"{'name': 'IFEval', 'value': 0.3045751938190667, 'normalized_score': 30.45751938190668}","{'name': 'BBH', 'value': 0.5457099951794562, 'normalized_score': 35.542431259008794}","{'name': 'MATH Level 5', 'value': 0.0513595166163142, 'normalized_score': 5.13595166163142}","{'name': 'GPQA', 'value': 0.36661073825503354, 'normalized_score': 15.548098434004473}","{'name': 'MUSR', 'value': 0.4118541666666667, 'normalized_score': 9.648437500000004}","{'name': 'MMLU-PRO', 'value': 0.441156914893617, 'normalized_score': 37.90632387706855}",True,False,False,False,True,2023-11-01,2024-06-12,0,01-ai/Yi-34B,apache-2.0,1293,34.389,25.657483288779545
01-ai/Yi-34B-200K_bfloat16_8ac1a1ebe011df28b78ccd08012aeb2222443c77_False,01-ai/Yi-34B-200K,8ac1a1ebe011df28b78ccd08012aeb2222443c77,bfloat16,pretrained,Original,LlamaForCausalLM,20.01347533597433,False,"{'name': 'IFEval', 'value': 0.15424850507763843, 'normalized_score': 15.424850507763843}","{'name': 'BBH', 'value': 0.5441817925289527, 'normalized_score': 36.02211028900003}","{'name': 'MATH Level 5', 'value': 0.05740181268882175, 'normalized_score': 5.740181268882175}","{'name': 'GPQA', 'value': 0.3565436241610738, 'normalized_score': 14.205816554809845}","{'name': 'MUSR', 'value': 0.38171874999999994, 'normalized_score': 9.414843749999998}","{'name': 'MMLU-PRO', 'value': 0.45345744680851063, 'normalized_score': 39.273049645390074}",True,False,False,False,True,2023-11-06,2024-06-12,0,01-ai/Yi-34B-200K,apache-2.0,318,34.389,25.50385584712952
