model string,company,model_name,size
01-ai/yi-large-preview,01-ai,yi-large-preview,
microsoft/phi-3-medium-4k-instruct,microsoft,phi-3-medium-4k-instruct,
qwen/qwen2.5-72b-instruct-turbo,qwen,qwen2.5-72b-instruct-turbo,72b
anthropic/claude-3-haiku-20240307,anthropic,claude-3-haiku-20240307,
google/gemma-2-9b,google,gemma-2-9b,9b
01-ai/yi-34b,01-ai,yi-34b,34b
qwen/qwen1.5-7b,qwen,qwen1.5-7b,7b
google/gemini-1.0-pro-001,google,gemini-1.0-pro-001,
anthropic/claude-2.1,anthropic,claude-2.1,
google/gemini-1.5-pro-002,google,gemini-1.5-pro-002,
qwen/qwen1.5-110b-chat,qwen,qwen1.5-110b-chat,110b
mistralai/mixtral-8x7b-32kseqlen,mistralai,mixtral-8x7b-32kseqlen,7b
mistralai/mistral-7b-instruct-v0.3,mistralai,mistral-7b-instruct-v0.3,7b
google/gemma-2-27b,google,gemma-2-27b,27b
microsoft/phi-3-small-8k-instruct,microsoft,phi-3-small-8k-instruct,
meta/llama-3.1-405b-instruct-turbo,meta,llama-3.1-405b-instruct-turbo,405b
anthropic/claude-3-5-sonnet-20241022,anthropic,claude-3-5-sonnet-20241022,
openai/gpt-3.5-turbo-0125,openai,gpt-3.5-turbo-0125,
meta/llama-3-8b,meta,llama-3-8b,8b
writer/palmyra-x-v3,writer,palmyra-x-v3,
allenai/olmo-1.7-7b,allenai,olmo-1.7-7b,7b
openai/gpt-4o-mini-2024-07-18,openai,gpt-4o-mini-2024-07-18,
databricks/dbrx-instruct,databricks,dbrx-instruct,
mistralai/mistral-large-2402,mistralai,mistral-large-2402,
ai21/jamba-1.5-large,ai21,jamba-1.5-large,
writer/palmyra-x-004,writer,palmyra-x-004,
qwen/qwen2.5-7b-instruct-turbo,qwen,qwen2.5-7b-instruct-turbo,7b
openai/gpt-4o-2024-05-13,openai,gpt-4o-2024-05-13,
ai21/jamba-1.5-mini,ai21,jamba-1.5-mini,
meta/llama-2-70b,meta,llama-2-70b,70b
meta/llama-3.2-11b-vision-instruct-turbo,meta,llama-3.2-11b-vision-instruct-turbo,11b
openai/gpt-4-turbo-2024-04-09,openai,gpt-4-turbo-2024-04-09,
allenai/olmo-7b,allenai,olmo-7b,7b
mistralai/mistral-small-2402,mistralai,mistral-small-2402,
mistralai/mixtral-8x22b,mistralai,mixtral-8x22b,22b
meta/llama-3.1-8b-instruct-turbo,meta,llama-3.1-8b-instruct-turbo,8b
google/gemini-1.5-flash-002,google,gemini-1.5-flash-002,
anthropic/claude-instant-1.2,anthropic,claude-instant-1.2,
ai21/jamba-instruct,ai21,jamba-instruct,
cohere/command-r-plus,cohere,command-r-plus,
google/text-bison@001,google,text-bison@001,
01-ai/yi-6b,01-ai,yi-6b,6b
qwen/qwen1.5-32b,qwen,qwen1.5-32b,32b
meta/llama-2-7b,meta,llama-2-7b,7b
google/gemini-1.5-flash-preview-0514,google,gemini-1.5-flash-preview-0514,
mistralai/mistral-large-2407,mistralai,mistral-large-2407,
google/gemini-1.5-pro-001,google,gemini-1.5-pro-001,
anthropic/claude-3-5-sonnet-20240620,anthropic,claude-3-5-sonnet-20240620,
google/text-unicorn@001,google,text-unicorn@001,
mistralai/open-mistral-nemo-2407,mistralai,open-mistral-nemo-2407,
mistralai/mistral-7b-v0.1,mistralai,mistral-7b-v0.1,7b
microsoft/phi-2,microsoft,phi-2,
qwen/qwen1.5-72b,qwen,qwen1.5-72b,72b
openai/gpt-4-0613,openai,gpt-4-0613,
meta/llama-3.1-70b-instruct-turbo,meta,llama-3.1-70b-instruct-turbo,70b
openai/gpt-4-1106-preview,openai,gpt-4-1106-preview,
qwen/qwen1.5-14b,qwen,qwen1.5-14b,14b
google/gemma-7b,google,gemma-7b,7b
google/gemini-1.5-pro-preview-0409,google,gemini-1.5-pro-preview-0409,
snowflake/snowflake-arctic-instruct,snowflake,snowflake-arctic-instruct,
openai/gpt-3.5-turbo-0613,openai,gpt-3.5-turbo-0613,
anthropic/claude-3-sonnet-20240229,anthropic,claude-3-sonnet-20240229,
openai/gpt-4o-2024-08-06,openai,gpt-4o-2024-08-06,
cohere/command-r,cohere,command-r,
qwen/qwen2-72b-instruct,qwen,qwen2-72b-instruct,72b
google/gemini-1.5-flash-001,google,gemini-1.5-flash-001,
anthropic/claude-3-opus-20240229,anthropic,claude-3-opus-20240229,
meta/llama-3.2-90b-vision-instruct-turbo,meta,llama-3.2-90b-vision-instruct-turbo,90b
deepseek-ai/deepseek-llm-67b-chat,deepseek-ai,deepseek-llm-67b-chat,67b
meta/llama-3-70b,meta,llama-3-70b,70b
meta/llama-2-13b,meta,llama-2-13b,13b
